Source,website,page_url,TRUE,FALSE
www.examiner.com,www.examiner.com,1,0,1
www.enhlive.com,web.archive.org,1,0,1
www.enhlive.com,fas.org,1,0,1
www.facebook.com,blogs.discovermagazine.com,1,1,0
www.crai.com,www.nationalbcc.org,1,0,1
www.crai.com,www.crai.com,1,0,1
www.crai.com,www.cbo.gov,1,0,1
www.crai.com,www.americanprogress.org,1,0,1
www.crai.com,www.aceee.org,1,0,1
www.crai.com,energycommerce.house.gov,1,0,1
www.childrensdefense.org,www.senate.gov,1,0,1
www.childrensdefense.org,www.cnn.com,1,0,1
www.youtube.com,www.votevets.org,1,0,1
www.charismanews.com,www.wnd.com,1,0,1
www.charismanews.com,www.express.co.uk,1,0,1
www.charismanews.com,www.charismanews.com,1,0,1
www.census.gov,www2.census.gov,1,0,1
www.census.gov,www.bea.gov,1,0,1
www.census.gov,cfo.dc.gov,1,0,1
www.breitbart.com,www.whitehouse.gov,1,0,1
www.crai.com,www.epw.senate.gov,1,0,1
www.dailymail.co.uk,medium.com,1,0,1
www.duhprogressive.com,www.huffingtonpost.com,1,0,1
www.dailymail.co.uk,theringer.com,1,0,1
www.duhprogressive.com,www.duhprogressive.com,1,0,1
www.documentcloud.org,www.flsenate.gov,1,0,1
www.documentcloud.org,www.dos.state.fl.us,1,0,1
www.youtube.com,www.politico.com,1,0,1
www.youtube.com,www.politifact.com,1,0,1
www.documentcloud.org,miamiherald.typepad.com,1,0,1
www.dispatch.com,www.youtube.com,1,0,1
www.dispatch.com,www.dispatch.com,1,0,1
www.dispatch.com,www.ajc.com,1,0,1
www.dispatch.com,cmc.rodparsley.com,1,0,1
www.dispatch.com,abcnews.go.com,1,0,1
www.dailymail.co.uk,www.youtube.com,1,0,1
www.dailymail.co.uk,www.washingtonpost.com,1,0,1
www.dailymail.co.uk,www.forbes.com,1,0,1
www.dailymail.co.uk,www.dailymail.co.uk,1,0,1
www.facebook.com,blogs.citypages.com,1,0,1
www.facebook.com,blogs.reuters.com,1,1,0
www.facebook.com,www.dhs.gov,1,0,1
www.youtube.com,www.epa.gov,1,0,1
www.facebook.com,www.bostonherald.com,1,0,1
www.facebook.com,www.bls.gov,1,1,0
www.youtube.com,www.facebook.com,1,1,0
www.facebook.com,www.bcbsri.com,1,0,1
www.youtube.com,www.factcheck.org,1,0,1
www.facebook.com,www.au.af.mil,1,0,1
www.youtube.com,www.johnmccain.com,1,0,1
www.facebook.com,www.alwaleed.com.sa,1,0,1
www.facebook.com,ustr.gov,1,0,1
www.facebook.com,thelede.blogs.nytimes.com,1,0,1
www.facebook.com,taxfoundation.org,1,1,0
www.facebook.com,static.politifact.com.s3.amazonaws.com,1,0,1
www.youtube.com,www.nrdc.org,1,0,1
