Source,Destination,Monday,Elections,Military,Thursday,Religion,Friday,Saturday,TRUE,History,Tuesday,Wednesday,Sunday,page_url,Health Care,FALSE,jaccard_coeff_connection,Neighbor_connection,jaccard_coeff_common_destination,Neighbor_common_destination,jaccard_coeff_common_source,Neighbor_common_source,SourceSite_outdeg_real,DestSite_outdeg_real,SourceSite_outdeg_fake,DestSite_outdeg_fake,SourceSite_indeg_fake,DestSite_indeg_fake,DestSite_indeg_real,SourceSite_indeg_real,mutuality_ind,MedianPolarityScore,Label
www.facebook.com,www.politico.com,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2,0.02469135802469136,4,0.0,0,0.1,2,30,0.0,225,0.0,10.0,17,0,1.0,0.0,0.0,0
nationalreport.net,www.snopes.com,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0.08108108108108109,3,0.0,0,0.08695652173913042,2,0,0.0,25,6.0,4.0,33,1,0.0,0.0,0.2553,0
floridanewsflash.com,www.foxnews.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0.029411764705882356,1,0.0,0,0.0,0,0,0.0,30,2.0,0.0,11,1,0.0,0.0,-0.2263,0
www.ilga.gov,factcheck.barackobama.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,17,0.0,0.0,3,0,0.0,0.0,0.4215,0
nationalreport.net,www.facebook.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0.018404907975460124,3,0.01973684210526316,3,0.0,0,0,30.0,25,225.0,4.0,10,1,0.0,0.0,0.5106,0
tn4politicaljustice.wordpress.com,www.documentcloud.org,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,7,7.0,0.0,14,0,0.0,0.0,0.7906,0
www.mrctv.org,www.nytimes.com,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0.0,0,0.0,0,0.0,0,16,0.0,0,0.0,0.0,24,3,0.0,0.0,0.4215,1
tn4politicaljustice.wordpress.com,www.nashvillescene.com,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,7,0.0,0.0,2,0,0.0,0.0,0.7906,0
www.facebook.com,www.businessinsider.com,0,0,0,1,0,0,0,1,0,1,0,0,2,0,1,0.0,0,0.0,0,0.0,0,30,0.0,225,0.0,10.0,4,1,1.0,0.0,-0.28595,0
www.mrctv.org,www.cbp.gov,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0.0,0,0.0,0,0.0,0,16,0.0,0,0.0,0.0,0,2,0.0,0.0,0.4215,1
