"","wd","get(i)","get(i)","get(i)"
"www.af.mil",1,0,0.0289232434626704,1
"www.jstor.org",1,0,0.0300453315528692,1
"www.kff.org",2,0,0.030069634944081,2
"www.loc.gov",1,0,0.0300453315528692,1
"www.mahealthconnector.org",1,0,0.0300453315528692,1
"washingtonexaminer.com",3,0,0.0297701949860724,3
"static.e-publishing.af.mil",1,0,0.0289232434626704,1
"www.malegislature.gov",1,0,0.0300453315528692,1
"www.mcclatchydc.com",3,0,0.0300960963075082,3
"www4.uwm.edu",1,0,0.0300453315528692,1
"www.zillow.com",1,0,0.0300453315528692,1
"www.nacdl.org",1,0,0.0300453315528692,1
"downtrend.com",2,0,0.0298273155416013,2
"www.nachc.com",1,0,0.0300453315528692,1
"www.nationsonline.org",1,0,0.0300453315528692,1
"presente.org",1,0,0.0297422339722406,1
"education-curriculum-reform-government-schools.org",1,0,0.0297422339722406,1
"www.worldbeyondwar.org",1,0,0.0300453315528692,1
"www.massresources.org",1,0,0.0300453315528692,1
"www.americanprogress.org",3,0,0.0301056338028169,3
"www.dlapiper.com",1,0,0.0300453315528692,1
"oathkeepers.org",1,0,0.0290371879775853,1
"minutemennews.com",2,0,0.0296247531270573,2
"mchb.hrsa.gov",1,0,0.0290371879775853,1
"homvee.acf.hhs.gov",1,0,0.0290371879775853,1
"freedomoutpost.com",2,0,0.0292768113956992,2
"benswann.com",1,0,0.0290371879775853,1
"beforeitsnews.com",2,0,0.0293905331545839,2
"www.opm.gov",1,0,0.029327022020992,1
"www.benefits.gov",1,0,0.029327022020992,1
"www.archives.gov",1,0,0.029327022020992,1
"nccp.org",1,0,0.0290371879775853,1
"www.phschool.com",1,0,0.0297422339722406,1
"uspostman.com",1,0,0.029327022020992,1
"www.americanbar.org",1,0,0.0290371879775853,1
"bigstory.ap.org",4,0,0.0300971557307801,4
"articles.latimes.com",4,0,0.0301077540671878,4
"articles.boston.com",1,0,0.0300453315528692,1
"archinte.jamanetwork.com",1,0,0.0300453315528692,1
"agonist.org",1,0,0.0300453315528692,1
"Target of Protest",1,0,0.0300453315528692,1
"7poundbag.com",1,0,0.0300453315528692,1
"www.westernfreepress.com",1,0,0.0290371879775853,1
"www.thegreenvillepost.com",1,0,0.0290371879775853,1
"www.thegatewaypundit.com",1,0,0.0290371879775853,1
"www.pewstates.org",1,0,0.0290371879775853,1
"www.hhs.gov",1,0,0.0290371879775853,1
"www.nationalbcc.org",1,0,0.0285399559383136,1
"www.aceee.org",1,0,0.0285399559383136,1
"energycommerce.house.gov",1,0,0.0285399559383136,1
"www.votevets.org",1,0,0.0297422339722406,1
"www.wnd.com",4,0,0.0294593942735072,4
"www.express.co.uk",2,0,0.0293189767505658,2
"www2.census.gov",1,0,0.0292197805953317,1
"www.bea.gov",2,0,0.0294269488900361,2
"cfo.dc.gov",1,0,0.0292197805953317,1
"www.epw.senate.gov",1,0,0.0285399559383136,1
"medium.com",1,0,0.0292547731471977,1
"theringer.com",1,0,0.0292547731471977,1
"www.flsenate.gov",1,0,0.0295255197182126,1
"www.dos.state.fl.us",1,0,0.0295255197182126,1
"miamiherald.typepad.com",2,0,0.0295428630662382,2
"www.ajc.com",3,0,0.0295724958494743,3
"cmc.rodparsley.com",1,0,0.0290342298288509,1
"blogs.citypages.com",1,0,0.0300453315528692,1
"www.dhs.gov",1,0,0.0300453315528692,1
"www.epa.gov",1,0,0.0297422339722406,1
"www.bostonherald.com",1,0,0.0300453315528692,1
"www.bcbsri.com",1,0,0.0300453315528692,1
"www.au.af.mil",1,0,0.0300453315528692,1
"www.alwaleed.com.sa",1,0,0.0300453315528692,1
"ustr.gov",1,0,0.0300453315528692,1
"thelede.blogs.nytimes.com",1,0,0.0300453315528692,1
"www.nrdc.org",1,0,0.0297422339722406,1
"siarchives.si.edu",1,0,0.0300453315528692,1
"rt.com",1,0,0.0300453315528692,1
"www.bradycampaign.org",1,0,0.0300453315528692,1
"research.hks.harvard.edu",1,0,0.0300453315528692,1
"www.buzzfeed.com",4,0,0.0301088143113709,4
"www.dailykos.com",2,0,0.0300484993322556,2
"www.csmonitor.com",2,0,0.0300749234936157,2
"www.cracked.com",1,0,0.0300453315528692,1
"www.capitol.hawaii.gov",1,0,0.0297422339722406,1
"www.columbia.edu",1,0,0.0300453315528692,1
"www.college.columbia.edu",1,0,0.0300453315528692,1
"www.cia.gov",1,0,0.0300453315528692,1
"www.cap-press.com",1,0,0.0300453315528692,1
"www.eia.doe.gov",2,0,0.0297567257160756,2
"rightwingnews.com",1,0,0.0300453315528692,1
"religion.blogs.cnn.com",1,0,0.0300453315528692,1
"bluecrossmafoundation.org",1,0,0.0300453315528692,1
"housedocs.house.gov",2,0,0.0300558934158259,2
"gasbuddy.com",1,0,0.0300453315528692,1
"fuelgaugereport.aaa.com",1,0,0.0300453315528692,1
"en.wikipedia.org",1,0,0.0300453315528692,1
"edition.cnn.com",2,0,0.0300506115563054,2
"data.un.org",1,0,0.0300453315528692,1
"csgv2.blogspot.com",1,0,0.0300453315528692,1
"costsofwar.org",1,0,0.0300453315528692,1
"content.healthaffairs.org",1,0,0.0300453315528692,1
"hereandnow.wbur.org",1,0,0.0300453315528692,1
"humanevents.com",1,0,0.0300453315528692,1
"rechten.uvt.nl",1,0,0.0300453315528692,1
"ia600805.us.archive.org",1,0,0.0300453315528692,1
"president45donaldtrump.com",1,0,0.0300453315528692,1
"postalmuseumblog.si.edu",1,0,0.0300453315528692,1
"pgpf.org",1,0,0.0300453315528692,1
"owsposters.tumblr.com",1,0,0.0300453315528692,1
"nypost.com",3,0,0.0301491589971438,3
"nationalhomeless.org",1,0,0.0300453315528692,1
"money.cnn.com",3,0,0.030069634944081,3
"media.cq.com",1,0,0.0300453315528692,1
"media.corporate-ir.net",1,0,0.0300453315528692,1
"madworldnews.com",1,0,0.0300453315528692,1
"lobbyingdisclosure.house.gov",1,0,0.0300453315528692,1
"jessicavalenti.com",1,0,0.0300453315528692,1
"iipdigital.usembassy.gov",1,0,0.0300453315528692,1
"www.cfda.gov",1,0,0.0294441765961843,1
"www.flhouse.gov",1,0,0.0290628505387675,1
"www.cruz.senate.gov",1,0,0.0294441765961843,1
"www.scrippsnews.com",1,0,0.0282224789569236,1
"qz.com",1,0,0.028845180661921,1
"pamelageller.com",1,0,0.028845180661921,1
"www.stopp.org",1,0,0.0282224789569236,1
"www.gao.gov",2,0,0.0293804336620735,2
"olson.house.gov",1,0,0.0282224789569236,1
"www.fbi.gov",3,0,0.0296124406885325,3
"codes.lp.findlaw.com",2,0,0.0292147884917652,2
"www.bostonglobe.com",1,0,0.028845180661921,1
"www.charitynavigator.org",1,0,0.028845180661921,1
"www.ibtimes.co.uk",2,0,0.0298930144745123,2
"benghazi.house.gov",1,0,0.0292247744052502,1
"www.copyright.gov",1,0,0.0298450153588383,1
"www.carolinalive.com",1,0,0.0298450153588383,1
"www.bbc.com",2,0,0.0298575220002794,2
"www.aapsonline.org",1,0,0.0298450153588383,1
"trailblazersblog.dallasnews.com",2,0,0.0299474605954466,2
"thesource.com",1,0,0.0298450153588383,1
"theobamafile.com",1,0,0.0298450153588383,1
"m.snopes.com",3,0,0.0299495586380832,3
"drjengunter.wordpress.com",1,0,0.0298450153588383,1
"www.thestar.com",2,0,0.029727756336706,2
"www.newsweek.com",1,0,0.0289693027038016,1
"ironicsurrealism.blogivists.com",1,0,0.028809218950064,1
"news.yahoo.com",1,0,0.0292247744052502,1
"www.boston.com",1,0,0.0290233884381683,1
"www.who.int",3,0,0.0297040022234575,3
"www.webmd.com",1,0,0.0286135002175295,1
"www.aap.org",1,0,0.0286135002175295,1
"www.fifa.com",1,0,0.0289693027038016,1
"wonder.cdc.gov",1,0,0.0286135002175295,1
"vaers.hhs.gov",1,0,0.0286135002175295,1
"media.cmgdigital.com",1,0,0.0286135002175295,1
"bit.ly",1,0,0.0286135002175295,1
"www.pewresearch.org",2,0,0.0293370848202031,2
"michellemalkin.com",1,0,0.028809218950064,1
"www.newsrealblog.com",1,0,0.028809218950064,1
"www.cybergolf.com",1,0,0.0289693027038016,1
"metro.co.uk",2,0,0.0290027137042062,2
"www.thelancet.com",1,0,0.028315008610412,1
"www.sciencemag.org",1,0,0.028315008610412,1
"www.sciencedirect.com",1,0,0.028315008610412,1
"www.ncirs.edu.au",1,0,0.028315008610412,1
"www.icmr.nic.in",1,0,0.028315008610412,1
"samawomenshealth.wordpress.com",1,0,0.028315008610412,1
"www.theblogmocracy.com",1,0,0.028809218950064,1
"www.publiusforum.com",1,0,0.028809218950064,1
"www.modernhealthcare.com",1,0,0.0298450153588383,1
"www.palmbeachpost.com",3,0,0.0298689956331878,3
"www.mediaite.com",2,0,0.0292177835491918,2
"www.nejm.org",1,0,0.0289134625139495,1
"www.australianetworknews.com",1,0,0.0289134625139495,1
"uproxx.com",1,0,0.0289134625139495,1
"www.independent.co.uk",1,0,0.0287317696081726,1
"www.postonpolitics.com",1,0,0.0298450153588383,1
"variety.com",1,0,0.0287317696081726,1
"www.govtrack.us",2,0,0.0290036975474066,2
"www.mtv.com",1,0,0.0292397660818713,1
"papers.ssrn.com",1,0,0.0290628505387675,1
"florida.adl.org",1,0,0.0290628505387675,1
"articles.washingtonpost.com",1,0,0.0290628505387675,1
"www.vox.com",1,0,0.0296494087457086,1
"www.nationaljournal.com",2,0,0.029699874947895,2
"www.mysanantonio.com",2,0,0.0298013245033113,2
"www.hrc.org",1,0,0.0296494087457086,1
"dailysnark.com",1,0,0.0296494087457086,1
"coed.com",1,0,0.0296494087457086,1
"atheists.org",1,0,0.0296494087457086,1
"www.glslcompactcouncil.org",1,0,0.0290628505387675,1
"www.sportbikes.net",1,0,0.00117232972767672,1
"www.blackloveisalive.com",1,0,0.00117232972767672,1
"www.texastribune.org",1,0,0.0294695481335953,1
"www.greatlakeslaw.org",1,0,0.0290628505387675,1
"www.deathpenaltyinfo.org",1,0,0.0291450777202073,1
"www.sun-sentinel.com",2,0,0.02925877763329,2
"www.amnesty.org",1,0,0.0291450777202073,1
"ftp.cdc.gov",1,0,0.0291450777202073,1
"pelosi.house.gov",1,0,0.0285133062095645,1
"www.wnyc.org",1,0,0.0298450153588383,1
"www.uspto.gov",1,0,0.0298450153588383,1
"www.theminorityreportblog.com",1,0,0.0298450153588383,1
"www.theatlantic.com",2,0,0.0298575220002794,2
"www.tcpalm.com",1,0,0.0298450153588383,1
"www.prnewswire.com",2,0,0.0299411682308447,2
"www.lbb.state.tx.us",1,0,0.0294695481335953,1
"worldnewsdailyreport.com",4,0,0.0290984582922098,4
"www.mortgagebankers.org",1,0,0.0293562231759657,1
"www.cfr.org",1,0,0.0293562231759657,1
"www.nydailynews.com",1,0,0.0287066881547139,1
"swampland.blogs.time.com",2,0,0.0290697674418605,2
"jumpinginpools.blogspot.com",1,0,0.0287066881547139,1
"deepbackground.msnbc.msn.com",1,0,0.0287066881547139,1
"blogs.villagevoice.com",1,0,0.0287066881547139,1
"object.cato.org",1,0,0.0289997625750432,1
"capwiz.com",1,0,0.0287115081097418,1
"www.jillstanek.com",1,0,0.0287115081097418,1
"www.chicagotribune.com",1,0,0.0287115081097418,1
"fightthesmears.com",1,0,0.0287115081097418,1
